,full_text,clean_text,cluster
452,@ken_arock99 @detikcom @detik_jabar Paling ditambah kdrt,tambah kdrt,1
453,"💚 liat desta cerai, sender jd mau ganti agama ke katolik aja krn g bisa cerai di katolik🥲✨",liat desta cerai sender ganti agama katolik cerai katolik,0
454,Siap pak https://t.co/blbQZUDq9h,,0
455,Sedih amat perempuan udah jadi korban kdrt masih disalahin,sedih perempuan korban kdrt disalahin,2
456,@tanyakanrl ga bisa cerai sama laki kdrt mau?,cerai laki kdrt,1
457,@txtdribu @pelukan_senja01 @salima252lagi Ga ada hubungannya malih antara ibadah sm kdrt. Ibadah rajin banyak yg korupsi banyak yg maling juga.,hubung malih ibadah kdrt ibadah rajin korupsi maling,1
458,"@tanyakanrl Sorry to say, di Katolik bukan nggak bisa pisah. Banyak kasus di gereja orang2 Katolik bisa mengajukan pembatalan pernikahan ke gereja utk dapat dispensasi, jika kasusnya KDRT, zina/selingkuh. Konsep mikirnya ditata dulu nder, lo sama aja kaya nyerang agama lo sendiri dan—",sorry to say katolik pisah gereja orang katolik aju batal nikah gereja dispensasi kasus kdrt zinaselingkuh konsep mikirnya tata nder kaya nyerang agama,1
459,"@tanyakanrl damai, tapi kalau selamanya sah2 aja ASAL TIDAK MENIKAHI ORG LAIN.\n3. Pembatalan pernikahan itu bukan utk kasus kdrt dan segala macamnya. Tapi hal2 lain yg terkait validitas materil dan formil perkawinan. Pengajuannya pun sulit, menunggunya lama sekali.",damai sah nikah lainn batal nikah kdrt macam kait validitas materil formil kawin aju sulit tunggu,2
460,"@tanyakanrl Klo misalnya kdrt dan suka main cewe apa di maafin aja? Maaf pure nanya ga paham soalnya knpa ga bisa"" bukan cuman ""dilarang""""",klo kdrt suka main cewek maafin maaf pure paham larang,1
461,"@tanyakanrl cerai oleh hakim, ya putus di hadapan negara, tapi BUKAN di hadapan agama. Solusinya gimana kalo mau nikah lagi? Nikah menurut agama lain dan sudah banyak kasusnya.\n2. Alternatif kalau ada kdrt dan pelanggaran lain yg buat muak, yaitu-&gt; PISAH RANJANG. Sekalipun harapan gereja-",cerai hakim putus hadap negara hadap agama solusi gimana nikah nikah agama kasusnyan alternatif kdrt langgar muak yaitugt pisah ranjang harap gereja,1
462,"Kek mana mau nikah calonnya ga ada hilalnya. Ditambah maraknya kasus perceraian dan KDRT apa nggak takut, lagian masih banyak loh ini penduduk kita. Belum masa resesi kek korea sama jepang pak.",kek nikah calon hilal tambah marak cerai kdrt takut loh duduk resesi kek korea jepang,1
463,"@txtdrimedia kalo terjadi kasus kdrt, anak bini ga di kasih nafkah, perselingkuhan, makan/minum pulang kerumah ortu masing², pak ma'ruf mau tanggung jawab?",kdrt anak bini kasih nafkah selingkuh makanminum pulang rumah orangtua masing maruf tanggung,1
464,"Setelah membuat penonton The Glory geram sebagai pelaku bully, Lim Ji Yeon bertransformasi jadi ibu hamil korban KDRT di Lies Hidden in My Garden.\n\nhttps://t.co/PoqhGocR8C",tonton the glory geram laku bully lim ji yeon transformasi hamil korban kdrt lies hidden in my gardennn,2
465,"Pas SMA, temen gue ada yg cerita orang tuanya ribut terus. Ga KDRT, ga ada yang selingkuh, tapi ribut aja terus. Sampai dia satu kali muak dan jerit 'kalian cere aja lah pusing gua dengerin kalian begini terus!'",pas sma teman cerita orang tua ribut kdrt selingkuh ribut kali muak jerit cere pusing dengerin,1
466,"Knp korban kdrt, diselingkuhin, masih ga mau cerai?! \n\nMungkin salah satunya ya karena elu elu pada nih yg nganggep cere itu aib, harus heboh, memalukan hhhaa \n\nPadahal asal lu tau ya.. PERCERAIAN itu sering menyembuhkan! \nDAN tentunya bisa kawin lagi hahaha met mencoba💨",knp korban kdrt diselingkuhin cerai nnmungkin salah satu elu elu nih nganggep cere aib heboh malu hhhaa nnpadahal cerai sembuh ndan kawin hahaha met coba,1
467,"Setelah membuat penonton The Glory geram sebagai pelaku bully, Lim Ji Yeon bertransformasi jadi ibu hamil korban KDRT di Lies Hidden in My Garden.\n\nhttps://t.co/AygVdn7NRk",tonton the glory geram laku bully lim ji yeon transformasi hamil korban kdrt lies hidden in my gardennn,2
468,"@joenomad @tanyakanrl minimal mampu menafkahi? gak bro, yg menafkahi belum tentu lepas dari kdrt. dalam rumah tangga ga pake minimal, tapi maksimalin tanggungjawab.\n\ntolong untuk cowo² pleaae gunain akal sehatnya, buang ego, atur emosional dan jangan males.",minimal nafkah bro nafkah lepas kdrt rumah tangga pakai minimal maksimalin tanggungjawabnntolong cowo pleaae gunain akal sehat buang ego atur emosional males,1
469,"@gnwnyd @txtdrimedia Cerai nggak dosa kalo alasannya valid, kayak KDRT, selingkuh, nggak ngasih nafkah.",cerai dosa alas valid kdrt selingkuh kasih nafkah,1
470,"Di Islam ga boleh cerai tanpa alasan yg dibenarkan syariat. Krn nikah itu sumpah seorang lelaki langsung kpd Alloh SWT. Bbrp alasan yg dibenarkan syariat utk bercerai: selingkuh, KDRT, suami yg tdk menafkahi istrinya. Tp klo bertobat dan mau memaafkan maka tdk bercerai lebih baik",islam cerai alas benar syariat krn nikah sumpah lelaki langsung alloh swt bbrp alas benar syariat cerai selingkuh kdrt suami nafkah istri tp tobat maaf cerai,1
471,"@txtdrimedia kalau isu nya kdrt/selingkuh, berhenti gua jadi vindes mania mantap. kalau ada hal lain, masih maklum lah.",isu nya kdrtselingkuh henti vindes mania mantap maklum,2
472,"@NdrewsTjan Nyokap bokap memilih bertahan padahal sering berantem bahkan ada kdrt segala, gue memilih untuk tidak seperti mereka.. Gamau bertahan, bukan karna ga sayang anak tapi ternyata lebih sehat kaya gini daj gue selalu tanya perasaan anak gue",nyokap ayah pilih tahan tengkar kdrt pilih gamau tahan sayang anak sehat kaya gin daj asa anak,1
473,@tanyakanrl banyak tetangga w yang katolik nahan2 buat ga cerai karna menurut agamanya ga boleh. padahal di kdrt.\n\nbtw nder kamu ngetik ini kalo di islam udah termasuk murtad hehe. bye bye untk semua pahala ibadah yg udah km jalani selama ini~~,tetangga katolik tahan cerai agama kdrtnnbtw nder ketik islam murtad hehe bye bye pahala ibadah jalan,0
474,"5 Fakta dari Isu Pertikaian Britney Spears &amp; Suami, Diduga Alami KDRT https://t.co/72CopW03LN",fakta isu tikai britney spears suami duga alami kdrt,2
475,"💚 liat desta cerai, sender jd mau ganti agama ke katolik aja krn g bisa cerai di katolik🥲✨",liat desta cerai sender ganti agama katolik cerai katolik,0
476,"@salima252lagi Gini lho ya, kalau alasannya males kerja ga bisa nafkahin, kdrt okelah kalau itu dicerein tp selama masih nafkahin lebih2, tempat tinggal nyaman pendidikan anak terjamin, masa depan udah cerah ya udahlah enak. Selama kita ngurusi ibadah orglain/pasangan ga akan bahagia hidup kita",gin lho alas males kerja nafkahin kdrt oke dicerein nafkahin tinggal nyaman didik anak jamin cerah udahlah enak ngurusi ibadah orglainpasangan bahagia hidup,1
477,"@senandikaulung sepupu ku jg sama, suaminya udah selingkuh, kdrt dan ga nafkahin dia sama anaknya, ajuin mau cerai secara agama ke gereja tapi sama pastornya ditolak dan dibilang kalo diterima mah orang yang mau cerai bakal makin banyak🥹",sepupu ku suami selingkuh kdrt nafkahin anak ajuin cerai agama gereja pastor tolak bilang terima mah orang cerai,1
478,"@18fesss Persis sm suami gue, tp ternyata di dunia kerja dia lebih beruntung dan pekerja keras\nSebenernya saling melengkapi aja sih\nKlo dya tanggung jawab pekerja keras\nNo kdrt dan no selingkuy, ok aja\nOran kan ada lebih ada kurang\nSender jg ga lebih mulu kan? Pst ada kurangnya",persis suami dunia kerja untung kerja kerasnsebenernya lengkap sihnklo dya tanggung kerja kerasnno kdrt no selingkuy oke ajanoran kurangnsender pst kurang,2
479,"https://t.co/gNSDhWQYhw\n\n*Beberapa waktu lalu, satu keluarga di Lontar, Sambikerep Surabaya Pemkot Surabaya menjadi korban dugaan KDRT (Kekerasan Dalam Rumah Tangga) yang dilakukan oleh ayah tiri, hingga hari ini masih menjalani perawatan intensif.*",keluarga lontar sambikerep surabaya pemkot surabaya korban duga kdrt keras rumah tangga ayah tiri jalan awat intensif,0
480,"@tanyakanrl uang buat rokok ada, uang buat susu gaada. mana banyak yg oot nyalahin istrinya. kalau istrinya begitu brarti gak sekali dua kali suaminya kdrt, bisa jadi dia video buat bukti kdrt",uang rokok uang susu oot nyalahin istri istri kali suami kdrt video bukti kdrt,1
481,"Padahal nggak ada salahnya lu cerai drpd mertahanin rumah tangga gasehat, kdrt, dll🤥",salah cerai mertahanin rumah tangga gasehat kdrt,0
482,"Usai Jadi Tukang Bully, Lim Ji Yeon Pindah Jalur Jadi Seorang Korban KDRT Dalam Filmnya Mendatang\n#LimJiYeon\n\nhttps://t.co/NFXxvEaJRF",tukang bully lim ji yeon pindah jalur korban kdrt film mendatangnlimjiyeonnn,2
483,INI NAMANYA KDRT!!!,nama kdrt,1
484,"@tanyakanrl Kalo sdh ditangani Polisi, syukur...segera vonis pidananya, krn KDRT...biar laki-laki tdk berbuat semena-mena kpd anggota keluarganya stlh berumah tangga",kalo tangan polisi syukursegera vonis pidana kdrtbiar lakilaki buat semenamena anggota keluarga rumah tangga,2
485,"@tanyarlfes Jangan selingkuh, jangan kdrt. Pokoknya jangan",selingkuh kdrt pokok,1
486,"@NdrewsTjan Klo sudah ada perselingkuhan,KDRT atau tindakan yg melenceng ya buat apa dipertahankan,, anak juga gk mau liat ibu/ayah nya disakitin gitu..",klo perselingkuhankdrt tindak lenceng tahan anak liat ibuayah nya disakitin,1
487,Empuk sofanyaa ehehehehehe https://t.co/tpvdlM4AkI,empuk sofanyaa ehehehehehe,0
488,"1. Penemuan surat dirumah mahira yang ditemukan oleh saksi (R). Isi dari surat yang dibacakan oleh Ayah angkat dlm keadaan gelap berisi “Mahira hidup kelaparan tdk \nmemiliki makanan dan berniat bunuh diri”. Nyatanya, ditemukan beras dan beberapa makanan minuman di dapur Mahira.",temu surat rumah mahira temu saksi r isi surat baca ayah angkat gelap isi mahira hidup lapar nmemiliki makan niat bunuh temu beras makan minum dapur mahira,0
489,"masalah kaya gini udh common banget, ga dimana-mana. dan seolah2 kayak hal yg lumrah, mana kalau gak diputus bakal jd lingkaran setan disitu2 aja. menikah-masalah finansial-kdrt. menikah yang harusnya adem ayem karena jadi ibadah terpanjang seumur hidup malah rasanya kayak neraka",kaya gin common dimanamana lumrah putus lingkar setan situ menikahmasalah finansialkdrt meni adem ayem ibadah panjang umur hidup neraka,1
490,"@tanyakanrl Masa si nder temen gua katolik, kalo mau cere mah cere aja orang banyak konflik di rumah tangga kdrt ga di nafkahin dll masa harus bertahan yg kayak gtu freak",nder teman katolik cere mah cere orang konflik rumah tangga kdrt nafkahin tahan freak,1
491,"@tanyarlfes Ada crita, temennya kakak aku, dpt KDRT dr suaminya, padahal alim menurut dia. Ya begitulah, cukuplah gantungkan semua harapan sama Allah",crita temennya kakak kdrt suami alim gantung harap allah,1
492,Ayah angkat almarhum dulu juga suka kdrt almarhumah sama alm  ibunya kan.. I hope she will rest in peace🥀 and the justice will be reveal,ayah angkat almarhum suka kdrt almarhumah alm ibu i hope she will rest in peace and the justice will be reveal,1
493,"@tanyarlfes Sefrekuensi..entah itu dlm hobi,mindset atau pun lain nya.\n8.cri pasngan yg bisa jd pelndung kita..baik dri org lain ataupun dri kluarga pasangan.(ga papa pnya mrtua atau ipar jhat,yg pntng pasngan kta bisa jd pelndung kita)9.dlm prnikhan appun dimaafkn kcuali selingkuh dan kdrt.",sefrekuensientah hobimindset nyancri pasngan pelndung kitabaik orang kluarga pasanganga papa mrtua ipar jhatyg pasngan pelndung kitadlm prnikhan appun dimaafkn kcuali selingkuh kdrt,1
494,@tanyakanrl plot twist: pasangan di masa depan kdrt dan suka selingkuh. terus kamu pengen cerai tapi nggak bisa.,plot twist pasang kdrt suka selingkuh cerai,1
495,"💚 liat desta cerai, sender jd mau ganti agama ke katolik aja krn g bisa cerai di katolik🥲✨",liat desta cerai sender ganti agama katolik cerai katolik,0
496,"@tanyarlfes Gak bisa ngasih saran. Cuma mau ngeluarin unek2. Jadi makin takut nikah. Ada yg cerai krn selingkuh, ada yg KDRT, ada yg sadis krn hal sepele...huhu",kasih saran ngeluarin unek takut nikah cerai selingkuh kdrt sadis sepelehuhu,1
497,cecel hobinya kdrt nieh https://t.co/2ujTq05j6A,cecel hobi kdrt nieh,1
498,"@tanyakanrl lu kira enak jd katolik, misal kena kdrt atau selingkuh kalo ngurus cerai susah.",enak katolik kena kdrt selingkuh urus cerai susah,0
499,"Wkwkwk nganan kepentok brondong kpop, ngiri nabrak cowo fiksi, noleh belakang cowo² stuck ditempat, liat depan berita perceraian, perselingkuhan, KDRT, dll. So, what i must doing?",wkwkwk nganan tok brondong kpop ngiri nabrak cowok fiksi noleh cowo stuck tempat liat berita cerai selingkuh kdrt so what i must doing,1
500,Sama menikah itu selalu Libatin Allah. \nGK usah mengharapkan apa2 sama pasangan.\nSelagi pasangan masih Mmnuhi kewajiban dan gak KDRT,meni libatin allah ngk harap pasangannselagi pasang mmnuhi wajib kdrt,1
501,"Susah cerai trus dpt suami kdrt, selamat menikmati",susah cerai suami kdrt selamat nikmat,1
502,"@tanyakanrl gak bisa cerai tapi bisa selingkuh, dan suka KDRT. hidup sampai mati sama orang yang gak udah gak sejalan, dibenci atau kasar sama kita. awkwkwwk",cerai selingkuh suka kdrt hidup mati orang jalan benci kasar awkwkwwk,1
503,"@tanyakanrl Perceraian itu trjadi psti ada konflik ny, kalo gd konflik ngapain org cerai?? Ini bukan permasalahan agamanya tp orang ny, eg. lu msuk katol*k eh trnyta lu dpet suami yg g bner, suka mabuk, poligami, kdrt, dll, tp g bisa cerai🤣 mmpua bgt",cerai konflik ny gd konflik ngapain orang cerai masalah agama orang ny eg msuk katolk eh trnyta suami suka mabuk poligami kdrt cerai mmpua,1
504,"Aneh. Cerai tuh gak selalu jelek. Ada banyak permasalahan yang memang solusinya ya pisah. Misal selingkuh atau kdrt atau ga mau nafkahin, kalo udah gitu tentu mendingan pisah.",aneh cerai tuh jelek masalah solusi pisah selingkuh kdrt nafkahin pisah,1
505,"tmn gw yg kdrt sm suaminy gw yg ikut pusing, tp klo gw galau dia ikut galau☺️🙏🏻",teman kdrt suaminy pusing galau galau,1
506,"Bukan permasalahan ganti agama atau apapun, hanya saja saya sebagai Katolik harus meluruskan hal ini.\n\nBenar bahwa di Katolik tidak boleh bercerai, tapi jika ada terjadi kasus-kasus tertentu (cth: KDRT), umat diperbolehkan untuk mengajukan ke pihak gereja untuk diadakan",masalah ganti agama apa katolik lurus ininnbenar katolik cerai kasuskasus contoh kdrt umat boleh aju gereja ada,0
507,"Jamilah Granza, perempuan asal Bogor, Indonesia, memelopori pembangunan rumah singgah di Amerika Serikat (AS) bagi perempuan imigran yang mengalami Kekerasan Dalam Rumah Tangga (KDRT). https://t.co/YkEKcswgOG",jam granza perempuan bogor indonesia lopor bangun rumah singgah amerika serikat as perempuan imigran alami keras rumah tangga kdrt,2
508,@schemzing @tanyakanrl ampun kdrt,ampun kdrt,1
509,"Kadang2 klo lihat berita perselingkuhan,kdrt dll jadi aku yg trauma ,🥹 kek lebih baik hidup sendiri",kadang lihat berita perselingkuhankdrt trauma kek hidup,1
510,💚 ayo guys culture shock apa yg kalian temui di pernikahan biar kita yg blm menikah bisa memahami dan mematangkan diri dari segi aspek manapun untuk nikah nanti. https://t.co/yEdc79vjj1,ayo guys culture shock temu nikah biar meni paham matang segi aspek mana nikah,1
511,@ScientistMilo KDRT BJIR.,kdrt bjir,1
512,"@idondon11 @hyuckie_hara @tanyakanrl Sy sudah pernah melihat kejadian serupa (teman) di gereja (kasus kdrt), akhirnya gereja mendispensasi untuk berpisah tempat tinggal demi keamanan pasangan dan anak.",sy jadi teman gereja kdrt gereja dispensasi pisah tinggal aman pasang anak,1
513,Babinsa Kelurahan Kricak Koramil 02/Tegalrejo Kodim 0734/Kota Yogyakarta Koptu Ridwan menghadiri Kegiatan Sosialisasi Pendampingan Anak oleh orang tua korban KDRT bersama tim dari dinas Pemberdayaan Perempuan Perlindungan Anak Pengendalian Penduduk dan Keluarga Berencana (P3AP2KB https://t.co/g7ZGawEV4g,babinsa lurah kricak koramil tegalrejo kodim kota yogyakarta koptu ridwan hadir giat sosialisasi damping anak orang tua korban kdrt tim dinas daya perempuan lindung anak kendali duduk keluarga rencana papkb,2
514,"@convomf Pasal penganiayaan. Kalo mau lapor harus visum. Ibunya aneh dah, kalo udah jelas kdrt dari awal nikah kenapa mesti bertahan dibalik UDAH KEADAANNYA GIMANA LAGI"" mana gak kerja lagi bapaknya.""",pasal aniaya kalo lapor visum ibu aneh kdrt nikah mesti tahan balik udah ada gimana kerja bapak,1
515,@tanyakanrl miskin. kdrt. cerai.,miskin kdrt cerai,1
516,"@NdrewsTjan Blm pernah ngerasain yah tiap hari ngliat orang tua berantem, ngliat ibu dimaki2 sma bapak tp gabisa apa2. Soalnya banyak orng kyk masnya yg mikir klo bisa jangan cere, kasian anaknya"" \nNo affair ato kdrt. Tp tiap hari liat ibu nangis, pengen sumpel mulut orng kyk masnya :)""",blm rasa yah ngliat orang tua tengkar ngliat maki sma orang mas mikir cere kasihan anak nno affair ato kdrt tp liat nang sumpel mulut orang mas,1
517,@iwanbule_kocak Kdrt termasuk verbal abuse gpp pisah😊. Tapi balik lagi. Ini pov lu sebagai anak yg kecewa dan gw memahami. Anak itu selalu jadi korban atas tingkah laku yg dilakukan ortunya. \n\nDan kalau ditanya pov dri sisi anak. Gw yakin lu maunya bapak lu berubah jadi baik kan ?,kdrt verbal abuse apa pisah pov anak kecewa paham anak korban tingkah laku ortunya nndan pov sisi anak gw mau ubah,1
518,Diduga Ada Kekerasan Seksual Sebelum Anak Pj Gubernur Papua Pegunungan Tewas #PjGubernurPapuaPegunungan https://t.co/h21iiq4rpT,duga keras seksual anak pj gubernur papua gunung tewas pjgubernurpapuapegunungan,2
519,Anak Pj Gubernur Papua Pegunungan Diduga Alami Kekerasan Seksual https://t.co/t9anCh28zy,anak pj gubernur papua gunung duga alami keras seksual,2
520,"+ ngajarin anak pelan2 ttg pendidikan seksual !!! That's so important buat masa depan mereka, biar gajadi korban atau pelaku kekerasan ,dll",ngajarin anak pelan didik seksual thats so important biar korban laku keras,2
521,"Setuju. Kasian korban kekerasan seksual yg sudah trauma diperlakukan seperti itu tapi harus ditambah hamil, melahirkan, dan merawat anak yg sebetulnya ga mereka inginkan dan yg bisa terus mengingatkan mereka akan trauma yg ga bisa hilang. Apalagi jika korbannya masih usia belia",tuju kasi korban keras seksual trauma laku tambah hamil lahir rawat anak trauma hilang korban usia belia,2
522,"Putri Pj Gubernur Papua Pegunungan Meninggal di Kamar Kos di Semarang, Polisi Duga Ada Kekerasan Seksual https://t.co/ixAhi8jVlD",putri pj gubernur papua gunung tinggal kamar kos semarang polisi duga keras seksual,2
523,"@pes00gihan @ridwanibnuhasan @projectm_org Kalau indikasi kekerasan seksual sampai gangguan jiwa atau kondisi ibu atau janin yg bermasalah jujur aku sepakat, nah yg buat2 sembarang ini aku g setuju, lebih baik buat semacam sistem bagi pasangan yg bersedia merawat janin tsb setelah lahir. Negara harus berperan di sini.",indikasi keras seksual ganggu jiwa kondisi janin masalah jujur sepakat sembarang tuju sistem pasang sedia rawat janin lahir negara peran,2
524,@ciacengeric @mazzini_gsp Up lah.\nKekerasan seksual paling parah sepanjang masa di negara ini.\nGen Z taunya pelecehan seksual itu hanya di KRL dan Transportasi Umum.\nMereka gk tau biadabnya org2 brengsek yg sampai skrg kita gktau siapa dalangnya.,up lahnkekerasan seksual parah negara iningen z tahu leceh seksual krl transportasi umumnmereka biadab orang brengsek gktau dalang,0
525,"Salus Populi suprema lex to keselamatan rakyat adalah hukum yang tertinggi, DPRD kota Bekasi di nilai mengilegalkan kasus kekerasan seksual.karena tidak mampu mengsahkan tiga Raperda yang pro terhadap perempuan dan anak. https://t.co/s2AJEoa7NC",salus populi suprema lex to selamat rakyat hukum tinggi dprd kota bekas nilai ilegal keras seksualkarena mengsahkan raperda pro perempuan anak,0
526,"Dokter gigi KAW ditangkap atas pasal berlapis dengan hukuman maksimal 10 tahun dan denda maksimal 10 miliar rupiah\n\nSementara itu, Women’s Crisis Center (WCC) Jombang menyayangkan tidak adanya praktik aborsi aman yang bisa diakses oleh korban kekerasan seksual https://t.co/Grr4vXPGlQ",dokter gigi kaw tangkap pasal lap hukum maksimal denda maksimal miliar rupiahnnsementara womens crisis center wcc jombang sayang praktik aborsi aman akses korban keras seksual,2
527,"15. Kekerasan seksual saat itu terjadi di rumah, di jalanan dan di tempat usaha. Sebagian besar perkosaan dilakukan dengan cara gang rape, yaitu korban diperkosa sejumlah orang secara bergantian. Korbannya dari lintas kelas sosial tapi mayoritas korban ialah etnis Tionghoa.",keras seksual rumah jalan usaha perkosa gang rape korban perkosa orang ganti korban lintas kelas sosial mayoritas korban etnis tionghoa,2
528,22. TGPF Mei 1998 menemukan ada 152 orang korban kekerasan seksual dan pemerkosaan di Jakarta. Tabel di bawah ini bukan jumlah keseluruhan korban hanya wilayah Jakarta dengan pengumpulkan data sejak 13 Mei sampai  3 Juli 1998. https://t.co/CCe6Y0o9XU,tgpf mei temu orang korban keras seksual perkosa jakarta tabel korban wilayah jakarta kumpul data mei juli,2
529,"Alami Kekerasan Seksual di Jatim, Langsung Hubungi Nomor Hotline Ini https://t.co/OHhwTHkbam",alami keras seksual jatim langsung hubung nomor hotline,2
530,"@KnewRepa Males ngomong sama orang yang solusinya cuma bunuh-bunuh-bunuh, perkosaan dan kekerasan seksual itu bukan cuma perkara orang nafsu terus maksa orang utk berhubungan badan, pencegahannya jg bukan dengan nyuruh perempuan pakai baju tertutup.",males bicara orang solusi bunuhbunuhbunuh perkosa keras seksual perkara orang nafsu maksa orang hubung badan cegah suruh perempuan pakai baju tutup,1
531,Putri Pj Gubernur Papua Pegunungan Tewas Diduga Mati Lemas dan Alami Kekerasan Seksual https://t.co/84hLSwyu80,putri pj gubernur papua gunung tewas duga mati lemas alami keras seksual,2
532,"@TMIHARINI Lebih gila liat komennya si, masa dianggap hero 😭 Setau aku diperbolehkan kok aborsi kalo karena korban kekerasan seksual/pemerkosaan.",gila liat komennya anggap hero tau boleh aborsi korban keras seksualpemerkosaan,2
533,@ruhutsitompul Dengan tidak memilih GP berarti anda telah menyelamatkan generasi muda dan bangsa Indonesia terbebas dr Pelecehan/kekerasan Seksual dan jg LGBT...,pilih gp selamat generasi muda bangsa indonesia bebas pelecehankekerasan seksual lgbt,2
534,"21. Kekerasan seksual saat Mei 1998 menurut verifikasi TGPF terhadap data yang terkumpul di Jakarta, Medan, Surabaya, Solo, Palembang didapati bentuk kekerasan seksual berbeda:\n1. Pemerkosaan\n2. Pemerkosaan dengan penganiayaan\n3. Penyerangan/penganiayaan secara seksual \n4.…",keras seksual mei verifikasi tgpf data kumpul jakarta medan surabaya solo palembang dapat bentuk keras seksual bedan pemerkosaann perkosa penganiayaann penyeranganpenganiayaan seksual,2
535,"Diduga Ada Kekerasan Seksual Sebelum Anak Pj Gub. Papua Pegunungan Tewas\nKorban sempat dibawa ke rumah sakit sebelum akhirnya meninggal dunia.\nDari tempat kejadian diamankan barang bukti beberapa botol minuman beralkohol berbagai jenis.\nSabtu, 20 Mei 2023 https://t.co/z1JbAaIGOF",duga keras seksual anak pj gub papua gunung tewasnkorban bawa rumah sakit tinggal duniandari jadi aman barang bukti botol minum alkohol jenisnsabtu mei,2
536,"Entah kenapa tiap bahas masalah pelanggaran HAM, pelanggaran HAM di Aceh luput dari pembahasan nasional, padahal didalamnya ada kekerasan seksual, pembantaian, penyiksaan, penghilangan paksa baik harta maupun nyawa\n\nPembahasan Pelanggaran HAM di Indonesia terkesan cherry picking https://t.co/zVqHPST0RV",bahas langgar ham langgar ham aceh luput bahas nasional dalam keras seksual bantai siksa hilang paksa harta nyawannpembahasan langgar ham indonesia kes cherry picking,2
537,@sosmedkeras Aku sebagai cewek kesal juga sih. Perawan itu penting yaa. Aku najis ya mau disamakan dengan lonte yang main sana sini berhati baik.\nKalo sange ya onani/masturbate bisa bahkan tanpa harus penetration. Kecualilah dia korban kekerasan seksual lain cerita.,cewek kesal sih perawan yaa najis sama lonte main hati baiknkalo sange onanimasturbate penetration kecuali korban keras seksual cerita,1
538,"Daripada praktek nikah yang tidak penting begini, lebih baik kalau mereka belajar tentang:\n- akuntansi rumah tangga\n- pembagian tugas di rumah\n- gizi bayi &amp; balita\n- jenis-jenis kontrasepsi\n- psikologi &amp; komunikasi suami-istri\n- perhitungan suku bunga KPR\n- pengisian SPT\n- dsb",praktik nikah ajar tentangn akuntansi rumah tanggan bagi tugas rumahn gizi bayi balitan jenisjenis kontrasepsin psikologi komunikasi suamiistrin hitung suku bunga kprn isi sptn,2
539,"@LArismi11 MUI Pusat kemana kalau ada yg beginian, koq gak ada suaranya MUI pusat kalau ada santriwati yg jagi korban kekerasan seksual yg di lakukan pimpinan Ponpes dan faktanya sangat banyak terjadi tapi MUI diem, giliran konser music saja koar2 gak jelas..",mui pusat mana suara mui pusat santriwati jagi korban keras seksual laku pimpin ponpes fakta mui diam gilir konser music koar,1
540,Viral sekelompok penari Sintren di Brebes mengalami kekerasan dan pelecehan seksual saat sedang pentas. Apa kata DP3KB Pemkab Brebes?\n\nhttps://t.co/QxmMRkmWhs,viral kelompok tari sintren brebes alami keras leceh seksual pentas dpkb pemkab brebesnn,2
541,Khofifah pastikan pelayanan kasus kekerasan seksual buka 24 jam\nhttps://t.co/p3RtQR8TNY,khofifah pasti layan keras seksual buka jamn,2
542,"Menteri Sosial (Mensos), Tri Rismaharini mengatakan, pembuatan modul tersebut sebagai upaya mengurangi kekerasan seksual yang dialami oleh anak disabilitas. Jadi karena itu, kami membuat modul parenting untuk menangani anak-anak disabilitas,""",menteri sosial mensos tri rismaharini buat modul upaya kurang keras seksual alami anak disabilitas modul parenting tangan anakanak disabilitas,2
543,"Mengenal Enabler, Sosok Bungkam yang Jadi 'Musuh' Para Korban dan Penyintas Kekerasan Seksual https://t.co/RYeHVb2hHw",kenal enabler sosok bungkam musuh korban sintas keras seksual,2
544,Quotenya pada fafifu kekerasan seksual dll\n\nGua pribadi yakin dari 1400an pasiennya yg korban KS ga bakal sampe 10 persennya\n\nI play low mungkin cuman 10 sampe 20 orang aja,quotenya fafifu keras seksual dllnngua pribadi an pasien korban ks persennyanni play orang,0
545,"Seorang dokter gigi di Bali membuka praktik aborsi ilegal sejak tahun 2006\n\nMenurut Polda Bali, dokter gigi KAW sudah menangani lebih dari 1.300 pasien sejak awal praktik aborsi\n\nKAW mengaku menangani aborsi ilegal karena kasihan dengan masa depan pasiennya yang rata2 masih muda https://t.co/Xcobhyui2m",dokter gigi bal buka praktik aborsi ilegal nnmenurut polda bal dokter gigi kaw tangan pasien praktik aborsinnkaw aku tangan aborsi ilegal kasihan pasien muda,2
546,Pemerintah Provinsi Jawa Timur membuka hotline khusus untuk pengaduan kasus kekerasan seksual kepada perempuan dan anak melalui SAPA 129 https://t.co/43G5SjMTX1,perintah provinsi jawa timur buka hotline khusus adu keras seksual perempuan anak sapa,2
547,"Perangi Kekerasan Seksual, Gubernur Jatim Buka Hotline Sapa 129 https://t.co/06GnoNwYri",rang keras seksual gubernur jatim buka hotline sapa,2
548,"ini nih susahnya, krn kita gak tahu yg datang aborsi tuh korban pemerkosn atau bukan :') apa gak ada cara gitu ya biar korban kekerasan seksual tuh bisa punya akses buat kyk gini, jdinya masuk legal 🤧 bukan membenarkan aborsi tpi ini khusus mereka para korban aja🤧",nih susah aborsi tuh korban pemerkosn biar korban keras seksual tuh akses gin jdinya masuk legal benar aborsi khusus korban,2
