full_text,clean_text,tokenized_sents,polarity_score,polarity
@Mandatiory pukul aku? belum apa-apa kok udah kdrt? 🥺,apaapa kdrt,"['apaapa', 'kdrt']",0,0
"lagi lu aneh, ninggalin agama sendiri demi pasangan. tiba tiba pasangan lu suka kdrt mampus lu",aneh tinggal agama pasang pasang suka kdrt mampus,"['aneh', 'tinggal', 'agama', 'pasang', 'pasang', 'suka', 'kdrt', 'mampus']",0,0
"Para suami istri ini kalau mau cerai cba pikirin anak2nya. Cma krna ego digedein, anak2 yg masih kecil jadi bingung bapak ibunya pisah dan gk tau mau ikut siapa. Dikira enak kali ya lihat bgtuan",suami istri cerai cba pikirin anak cma ego digedein anak bingung ibu pisah enak kali lihat bgtuan,"['suami', 'istri', 'cerai', 'cba', 'pikirin', 'anak', 'cma', 'ego', 'digedein', 'anak', 'bingung', 'ibu', 'pisah', 'enak', 'kali', 'lihat', 'bgtuan']",-6,2
最近完封負けしなくなったねちうにちさん,,[],0,0
"@fandiadji @salima252lagi Wkwkwk imam kok kdrt, ga nafkahin, ga bertanggung jawab. Ya bukan imam kalo yg golongan seperti itu.",wkwkwk imam kdrt nafkahin tanggung imam golong,"['wkwkwk', 'imam', 'kdrt', 'nafkahin', 'tanggung', 'imam', 'golong']",-3,2
"can ppl just stop picking their nose in my bussines? ni bude satu brisik bgt perkara w milih ga ppg tp lanjut honorer. mending u urusin tuh anak cowo u bude yg kdrt sama istrinya, terus masih suka keluar sama cewe2 ewhhh",can ppl just stop picking their nose in my bussines bude brisik perkara pilih ppg honorer mending urusin tuh anak cowok bude kdrt istri suka cewek ewhhh,"['can', 'ppl', 'just', 'stop', 'picking', 'their', 'nose', 'in', 'my', 'bussines', 'bude', 'brisik', 'perkara', 'pilih', 'ppg', 'honorer', 'mending', 'urusin', 'tuh', 'anak', 'cowok', 'bude', 'kdrt', 'istri', 'suka', 'cewek', 'ewhhh']",-5,2
"💚 guys kalian udah liat ini belum? parah banget kasian anaknya, apalagi baca komentarnya tambah emosi😢 https://t.co/Y3ARdghhQu",guys liat parah kasihan anak baca komentar emosi,"['guys', 'liat', 'parah', 'kasihan', 'anak', 'baca', 'komentar', 'emosi']",-1,2
"CUKUP TAHU AJA, DAN PELAJARI DARI SETIAP KEJADIAN YANG SEKARANG TERJADI DI MEDIA SOSIAL. PERCERAIAN, PERSELINGKUHAN, KDRT TANPA PERLU BANYAK BERKOMENTAR TANPA TAHU KEJADIAN SEBENARNYA SEPERTI APA.",aja ajar jadi media sosial cerai selingkuh kdrt komentar jadi,"['aja', 'ajar', 'jadi', 'media', 'sosial', 'cerai', 'selingkuh', 'kdrt', 'komentar', 'jadi']",-9,2
"sblm ngewe khususon cowo harus nanya cewe pengen diewe kaya gimana, w yakin cewe pengen bgt ngelakuin ssuatu tp malu bilang. dikasarin pun bukan yg nampar kdrt tapi nampar manja bikin kaget dan bikin sange, u harus nanya langsung ke cewe sbrp kenceng tamparan yg bearable buat doi",ngewe khususon cowok cewek diewe kaya gimana cewek ngelakuin ssuatu malu bilang dikasarin nampar kdrt nampar manja bikin kaget bikin sange langsung cewek sbrp kencang tampar bearable doi,"['ngewe', 'khususon', 'cowok', 'cewek', 'diewe', 'kaya', 'gimana', 'cewek', 'ngelakuin', 'ssuatu', 'malu', 'bilang', 'dikasarin', 'nampar', 'kdrt', 'nampar', 'manja', 'bikin', 'kaget', 'bikin', 'sange', 'langsung', 'cewek', 'sbrp', 'kencang', 'tampar', 'bearable', 'doi']",-5,2
@syubjinpd @sinbyss mau takol tp ntar kena uu kdrt ga si kak🙏 mending gw culik mumu aja beserta pc2 seokjinnya yg mahal2 itu,takol kena uu kdrt kak mending culik mu serta pc seokjinnya mahal,"['takol', 'kena', 'uu', 'kdrt', 'kak', 'mending', 'culik', 'mu', 'serta', 'pc', 'seokjinnya', 'mahal']",-1,2
Selain kdrt sma selingkung yg gue takutin juga adalah takut kalo suami gue nanti gabisa bimbing gue kearah yg lebih baik. Naudzubillahimindzaliik,kdrt sma lingkung takutin takut suami bimbing arah naudzubillahimindzaliik,"['kdrt', 'sma', 'lingkung', 'takutin', 'takut', 'suami', 'bimbing', 'arah', 'naudzubillahimindzaliik']",-6,2
"@tanyakanrl bct panutan2. tu rumah tangga artis2 yg pd ketauan selingkuh, cere, kdrt juga sebelumnya jd panutan kok, sebelumnya jd couple goals, family goals. ko ga belajar2 ya heran😂 ya gapenting2 amat sih emg wkw cuma lucu aja gituu",bicara panutan rumah tangga artis tau selingkuh cere kdrt panutan couple goals family goals ko ajar heran gapenting sih wkw lucu gituu,"['bicara', 'panutan', 'rumah', 'tangga', 'artis', 'tau', 'selingkuh', 'cere', 'kdrt', 'panutan', 'couple', 'goals', 'family', 'goals', 'ko', 'ajar', 'heran', 'gapenting', 'sih', 'wkw', 'lucu', 'gituu']",-1,2
"@gesangnurh Kebanyakan perempuan adalah takut menikah, karena kebanyakan perempuan takut menikah yaitu mendapatkan suami yg suka kdrt,judi,pemabuk,suka maen cwe,tidak menafkahi, ada juga perempuan yang ga menikah itu lebih kaya ke terlalu idealis untuk memilih suami",banyak perempuan takut meni banyak perempuan takut meni suami suka kdrtjudipemabuksuka main cwetidak nafkah perempuan meni kaya idealis pilih suami,"['banyak', 'perempuan', 'takut', 'meni', 'banyak', 'perempuan', 'takut', 'meni', 'suami', 'suka', 'kdrtjudipemabuksuka', 'main', 'cwetidak', 'nafkah', 'perempuan', 'meni', 'kaya', 'idealis', 'pilih', 'suami']",3,1
"Wkwkwkkwkw, pasalnya apa ya kdrt tuh",wkwkwkkwkw pasal kdrt tuh,"['wkwkwkkwkw', 'pasal', 'kdrt', 'tuh']",-4,2
"buka twt tuu seruu banyak hal random 😙😙\nyg bikin ga seru tu banyak berita kekerasan, kdrt, perceraian, kejahatan kaya begal pembunuhan pemerkosaan 😭😭😭😭😭😭😭😭😭😭😭😭😭 keluhan kaya gini gabisa ke damkar aja apaya biar cepat tanggap jadi gaperlu nunggu viral dulu😭😭😭😭",buka twt tuu seruu random nyg bikin seru berita keras kdrt cerai jahat kaya begal bunuh perkosa keluh kaya gin damkar apaya biar cepat tanggap gaperlu nunggu viral,"['buka', 'twt', 'tuu', 'seruu', 'random', 'nyg', 'bikin', 'seru', 'berita', 'keras', 'kdrt', 'cerai', 'jahat', 'kaya', 'begal', 'bunuh', 'perkosa', 'keluh', 'kaya', 'gin', 'damkar', 'apaya', 'biar', 'cepat', 'tanggap', 'gaperlu', 'nunggu', 'viral']",-22,2
"@fandiadji @salima252lagi Ekonomi, tempat tinggal, tdk kdrt itu tanggung jawab suami. Tugas paling pertama itu jadi imam yg bimbing istri ke surga. Buat orang lain mungkin iya urusan ibadah itu privasi, tp kalo udah melanggar agama kita juga harus negur. Kalo bodo amat malah kita jg yg kena dosanya😐😌",ekonomi tinggal kdrt tanggung suami tugas imam bimbing istri surga orang iya urus ibadah privasi langgar agama negur kalo bodo kena dosa,"['ekonomi', 'tinggal', 'kdrt', 'tanggung', 'suami', 'tugas', 'imam', 'bimbing', 'istri', 'surga', 'orang', 'iya', 'urus', 'ibadah', 'privasi', 'langgar', 'agama', 'negur', 'kalo', 'bodo', 'kena', 'dosa']",-18,2
@bluesymphonia_ gakboleh kdrt (kekerasan dalam rumah twitter) 😠,gakboleh kdrt keras rumah twitter,"['gakboleh', 'kdrt', 'keras', 'rumah', 'twitter']",0,0
Ni kdrt part berapa ya btw,ni kdrt part btw,"['ni', 'kdrt', 'part', 'btw']",0,0
@siegblackmoon @tanyakanrl @DivHumas_Polri ada kdrt pak,kdrt,['kdrt'],0,0
"@tanyakanrl Katolik masih bisa cerai sipil kok nderrrr tp ga bisa nikah lagi. Banyak melihat kasus cerai sipil di sekitar krn selingkuh, kdrt, dll",katolik cerai sipil nderrrr nikah cerai sipil selingkuh kdrt,"['katolik', 'cerai', 'sipil', 'nderrrr', 'nikah', 'cerai', 'sipil', 'selingkuh', 'kdrt']",-14,2
@tanyakanrl Pelaku kdrt nya udah ketangkep kah?,laku kdrt nya ketangkep kah,"['laku', 'kdrt', 'nya', 'ketangkep', 'kah']",0,0
"@tang__kira Sementara orang sini pengen cancel artis cm krn  mau cerai\nBukan krn kdrt, perbudakan, sexual crime dll tp hanya krn orangnya mau cerai \nKy broooh, otaknya dmn",orang cancel artis cerainbukan kdrt budak sexual crime orang cerai nky broooh otak mana,"['orang', 'cancel', 'artis', 'cerainbukan', 'kdrt', 'budak', 'sexual', 'crime', 'orang', 'cerai', 'nky', 'broooh', 'otak', 'mana']",2,1
"Teks Kuno Ungkap Kehidupan Rumah Tangga Orang Mesir, dari Perkara Warisan sampai KDRT https://t.co/4kSLqQpx6z",teks kuno hidup rumah tangga orang mesir perkara waris kdrt,"['teks', 'kuno', 'hidup', 'rumah', 'tangga', 'orang', 'mesir', 'perkara', 'waris', 'kdrt']",-13,2
"@cloudywaltz @junghwangall @tanyakanrl Kurang tau kak kalo KDRT, itu tergantung org masing2 sih mereka ngatasinnya gimana😭🙏🏻",kak kdrt gantung orang sih ngatasinnya gimana,"['kak', 'kdrt', 'gantung', 'orang', 'sih', 'ngatasinnya', 'gimana']",-3,2
@peatwasu @fort_fts KDRT ini namanya 😭😂,kdrt nama,"['kdrt', 'nama']",0,0
"Jadi Korban KDRT, Lim Ji Yeon Siap Bintangi Drama Baru Lies Hidden in My Garden\n\nCek sinopsisnya di sini\nhttps://t.co/WgmW5Smhds\n\n#LimJiYeon https://t.co/r2qjysEZsI",korban kdrt lim ji yeon bintang drama lies hidden in my gardennncek sinopsis sin,"['korban', 'kdrt', 'lim', 'ji', 'yeon', 'bintang', 'drama', 'lies', 'hidden', 'in', 'my', 'gardennncek', 'sinopsis', 'sin']",-9,2
"Masih ga nyangka, Gimana menurut kalian guys? 🥹🥺\n\n[📸vid:tiktok] https://t.co/p3YNsTMp6K",sangka gimana guys nnvidtiktok,"['sangka', 'gimana', 'guys', 'nnvidtiktok']",1,1
"Ya kaga usah ikut campur urusan rumah tangga org aja dah bener, bukan kdrt juga.",kaga campur urus rumah tangga orang kdrt,"['kaga', 'campur', 'urus', 'rumah', 'tangga', 'orang', 'kdrt']",5,1
"Viral Suami Lakukan KDRT pada Istri, Aksinya Tersiar di Live Facebook, Berawal Lihat Anak Tak Bersih https://t.co/x1tjXpjrwe https://t.co/DNMkujs2NW",viral suami laku kdrt istri aksi siar live facebook lihat anak bersih,"['viral', 'suami', 'laku', 'kdrt', 'istri', 'aksi', 'siar', 'live', 'facebook', 'lihat', 'anak', 'bersih']",8,1
DISCLAIMER!!\n- 100% fiksi\n- bxb area\n- mengandung harsh words dan adult content🔞\n- banyak adegan penganiayaan (kdrt)\n- update TIDAK di jadwal\n- DIMOHON BIJAK MEMILIH CERITA!\nenjoy.,disclaimern fiksin bxb are kandung harsh words adult contentn adegan aniaya kdrtn update jadwaln mohon bijak pilih ceritanenjoy,"['disclaimern', 'fiksin', 'bxb', 'are', 'kandung', 'harsh', 'words', 'adult', 'contentn', 'adegan', 'aniaya', 'kdrtn', 'update', 'jadwaln', 'mohon', 'bijak', 'pilih', 'ceritanenjoy']",-11,2
KDRT\nhttps://t.co/MYuBHVzAMI,kdrtn,['kdrtn'],0,0
ばゃ！！！！ナイスキャッチ！！！,,[],0,0
Lebam tapi bukan kdrt.,lebam kdrt,"['lebam', 'kdrt']",0,0
"@sosmedkeras Sebenernya pengen cepet nikah, tapi knp ada aja berita tentang perselingkuhan, cere, kdrt. Kan jadi bikin takut 😕",sebenernya cepat nikah berita selingkuh cere kdrt bikin takut,"['sebenernya', 'cepat', 'nikah', 'berita', 'selingkuh', 'cere', 'kdrt', 'bikin', 'takut']",-13,2
福永くんいいあたりだったけどなぁ,,[],0,0
"gak nyambung\n\ngak ada sangkut pautnya antara cowok emosian dan hobi KDRT dengan cewek yg cerewet\n\nkalo udh dari sononya demen gebugin orang, mau ceweknya diem jg pasti digebugin",nyambungnngak sangkut paut cowok emosi hobi kdrt cewek cerewetnnkalo sono suka gebugin orang cewek diam digebugin,"['nyambungnngak', 'sangkut', 'paut', 'cowok', 'emosi', 'hobi', 'kdrt', 'cewek', 'cerewetnnkalo', 'sono', 'suka', 'gebugin', 'orang', 'cewek', 'diam', 'digebugin']",-3,2
"@younghotbaby Aduuuuh komen apalagi yaa biar nggak nyudutin. Intinya saya juga tidak mendukung KDRT,,, dengen memberikan nasihat agar mencari pasangan yg baik agar tidak kejadian begitu",aduuuuh komen yaa biar nyudutin inti dukung kdrt dengen nasihat cari pasang jadi,"['aduuuuh', 'komen', 'yaa', 'biar', 'nyudutin', 'inti', 'dukung', 'kdrt', 'dengen', 'nasihat', 'cari', 'pasang', 'jadi']",1,1
"Markhyuck local au. [marriage life]\n\n           •— It's Hurt's\n\ncinta mana yang kamu maksud? Cuma sakit yang aku dapatkan selama ini, mas""\n\ntw/blood, pemerkosaan, kdrt, 18+!\n\n©anjaiiAhengg https://t.co/idDHJThEfP""",markhyuck local au marriage lifenn its hurtsnncinta maksud sakit dapat masnntwblood perkosa kdrt nnanjaiiahengg,"['markhyuck', 'local', 'au', 'marriage', 'lifenn', 'its', 'hurtsnncinta', 'maksud', 'sakit', 'dapat', 'masnntwblood', 'perkosa', 'kdrt', 'nnanjaiiahengg']",-3,2
"Pengacara Desta, Hendri Siregar membantah adanya tindakan kekerasan dalam rumah tangga (KDRT), dalam konflik rumah tangga kliennya dengan Natasha Rizki.\nhttps://t.co/ZsmSLKhsTC",acara desta hendri siregar ban tindak keras rumah tangga kdrt konflik rumah tangga klien natasha rizkin,"['acara', 'desta', 'hendri', 'siregar', 'ban', 'tindak', 'keras', 'rumah', 'tangga', 'kdrt', 'konflik', 'rumah', 'tangga', 'klien', 'natasha', 'rizkin']",4,1
柳さんホームランかと思ったぁぁ,,[],0,0
"@cattawinc @junghwangall @tanyakanrl Seriusan nanya, kalo misal ada KDRT terus pengen cerai, tapi maaf ekonomi keluarga tersebut kurang dan ngga mampu ke Vatikan, kalo kayak gitu gimana?",serius kdrt cerai maaf ekonomi keluarga vatikan gimana,"['serius', 'kdrt', 'cerai', 'maaf', 'ekonomi', 'keluarga', 'vatikan', 'gimana']",-9,2
"@joenomad @tanyakanrl bagi cewe yg mau nikah: pilihlah cowok yg mau mendengarkan, diajak kerjasama bukan protes dikit dibilang banyak nuntut, komunikasi bagus biar gk asal pukul, gk egois dan gk ngasih opini jelek yg normalisasi kdrt klu lg kesel. biar mental terjaga dan badan gk remuk jd samsak emosi",cewek nikah pilih cowok dengar ajak kerjasama protes bilang nuntut komunikasi bagus biar egois kasih opini jelek normalisasi kdrt kesal biar mental jaga badan remuk samsak emosi,"['cewek', 'nikah', 'pilih', 'cowok', 'dengar', 'ajak', 'kerjasama', 'protes', 'bilang', 'nuntut', 'komunikasi', 'bagus', 'biar', 'egois', 'kasih', 'opini', 'jelek', 'normalisasi', 'kdrt', 'kesal', 'biar', 'mental', 'jaga', 'badan', 'remuk', 'samsak', 'emosi']",-23,2
@txtdariyovi Intinya:: STOP KDRT,inti stop kdrt,"['inti', 'stop', 'kdrt']",0,0
"@joenomad Gausah komen lagi kalo gitu kak. Kan gak membenarkan kdrt katanya. Yaudah. Jangan di wajarin lagi dengan alasan cewe harus pinter pinter cari pasangan lah, cowo harus cari yang ga cerewet lah. Salah mah salah aja kak 👍🏻",gausah komen kak benar kdrt yaudah wajarin alas cewek pintar pintar cari pasang cowok cari cerewet salah mah salah kak,"['gausah', 'komen', 'kak', 'benar', 'kdrt', 'yaudah', 'wajarin', 'alas', 'cewek', 'pintar', 'pintar', 'cari', 'pasang', 'cowok', 'cari', 'cerewet', 'salah', 'mah', 'salah', 'kak']",-24,2
@themostchic @tang__kira Itu dah dijelasin kak dia sebenernya mau kabur juga tapi ditahan-tahanin karena takut adiknya jadi korban. Banyak kasus gini yang korbannya gak jadi kabur karena jadi tameng adik atau ibunya (kalau yang kdrt cuma bapaknya),dijelasin kak kabur ditahantahanin takut adik korban gin korban kabur tameng adik ibu kdrt bapak,"['dijelasin', 'kak', 'kabur', 'ditahantahanin', 'takut', 'adik', 'korban', 'gin', 'korban', 'kabur', 'tameng', 'adik', 'ibu', 'kdrt', 'bapak']",-15,2
"@tanyakanrl Ok ok,,,, tadi udah nasihat untuk cewek nggak di terima netizen…\nSekarang bagi cowok yang mau nikah : pilihlah cewek yang nggak cerewet dan nggak banyak menuntut biar kamu nggak emosi dan kdrt,, jangan nakal dan rajin sembahyang…!!!!",ok oke nasihat cewek terima netizennsekarang cowok nikah pilih cewek cerewet tuntut biar emosi kdrt nakal rajin sembahyang,"['ok', 'oke', 'nasihat', 'cewek', 'terima', 'netizennsekarang', 'cowok', 'nikah', 'pilih', 'cewek', 'cerewet', 'tuntut', 'biar', 'emosi', 'kdrt', 'nakal', 'rajin', 'sembahyang']",-6,2
@freysjelfjh Jangan lupa angka perceraian tinggi harusnya ini dlu sih \nTerus kdrt solusiny gmna?,lupa angka cerai sih nterus kdrt solusiny,"['lupa', 'angka', 'cerai', 'sih', 'nterus', 'kdrt', 'solusiny']",-6,2
"💚 liat desta cerai, sender jd mau ganti agama ke katolik aja krn g bisa cerai di katolik🥲✨",liat desta cerai sender ganti agama katolik cerai katolik,"['liat', 'desta', 'cerai', 'sender', 'ganti', 'agama', 'katolik', 'cerai', 'katolik']",-10,2
"@iwanbule_kocak @NdrewsTjan bener. kadang bingung sm omongan orang yg bilang kalo bukan selingkuh/kdrt jangan cerai"" wtf, kalian kan gak tau dalemnya rumah tangga orang lain.""",kadang bingung omong orang bilang selingkuhkdrt cerai wtf dalem rumah tangga orang,"['kadang', 'bingung', 'omong', 'orang', 'bilang', 'selingkuhkdrt', 'cerai', 'wtf', 'dalem', 'rumah', 'tangga', 'orang']",-7,2
"Trus malah disuruh nikah dengan alasan ntar kalo dah nikah dah tenang"" WKWK bullshit macam apaan itu. Dari kecil aku liat pasutri berantem pake bumbu kdrt sampe tetangga rame jga sering wkwk ga akan kena omongan gula macam itu wkwk""",trus suruh nikah alas nikah tenang wkwk bullshit liat pasang suami istri tengkar pakai bumbu kdrt tetangga ramai wkwk kena omong gula wkwk,"['trus', 'suruh', 'nikah', 'alas', 'nikah', 'tenang', 'wkwk', 'bullshit', 'liat', 'pasang', 'suami', 'istri', 'tengkar', 'pakai', 'bumbu', 'kdrt', 'tetangga', 'ramai', 'wkwk', 'kena', 'omong', 'gula', 'wkwk']",-3,2
"@1897viki @siegblackmoon @tanyakanrl Presepsiku juga gitu.. Barang kali dia udah capek, dimintaiin uang tp gak bisa ngasih malah rokok.. Atau mungkin juga dianya di kdrt gitu, makanya istrinya gk tau harus berbuat kaya gimama.. Tetangganya mau negur juga gak berani kali ya.. Makanya pada cuek gitu...",presepsiku barang kali capai dimintaiin uang kasih rokok dia kdrt istri buat kaya gimama tetangga negur berani kali cuek,"['presepsiku', 'barang', 'kali', 'capai', 'dimintaiin', 'uang', 'kasih', 'rokok', 'dia', 'kdrt', 'istri', 'buat', 'kaya', 'gimama', 'tetangga', 'negur', 'berani', 'kali', 'cuek']",-9,2
"Hufftt capek baca berita kalo gak selingkuh, ngewe, kdrt",hufftt capai baca berita selingkuh ngewe kdrt,"['hufftt', 'capai', 'baca', 'berita', 'selingkuh', 'ngewe', 'kdrt']",-8,2
kalo pasangannya kdrt/selingkuh ga bisa cerai mampus,pasang kdrtselingkuh cerai mampus,"['pasang', 'kdrtselingkuh', 'cerai', 'mampus']",-5,2
"@fandiadji @salima252lagi Mas Fandi, pernikahan itu bukan sekadar menafkahi, pokoknya daprt tempat tinggal nyaman, nggak kdrt. Kalo gitu mah cewe2 gausa nikah aja. Banyak orang tua di luar sana juga bisa ngasih itu semua. Hadehhh",mas fandi nikah nafkah pokok daprt tinggal nyaman kdrt kalo mah cewek gausa nikah orang tua kasih hadehhh,"['mas', 'fandi', 'nikah', 'nafkah', 'pokok', 'daprt', 'tinggal', 'nyaman', 'kdrt', 'kalo', 'mah', 'cewek', 'gausa', 'nikah', 'orang', 'tua', 'kasih', 'hadehhh']",-3,2
"lagian itu bukan nakal bgst, itu kdrt.. ada baiknya lo ke tukang reparasi otak, biar pemikiran lo dibaikin. itu lakinya pas ngelive aja berani kdrt, apalagi kalo gak ngelive. kalau fisik, mental, materil belum mampu jangan nikah!",nakal bgst kdrt baik tukang reparasi otak biar pikir dibaikin laki pas ngelive berani kdrt ngelive fisik mental materil nikah,"['nakal', 'bgst', 'kdrt', 'baik', 'tukang', 'reparasi', 'otak', 'biar', 'pikir', 'dibaikin', 'laki', 'pas', 'ngelive', 'berani', 'kdrt', 'ngelive', 'fisik', 'mental', 'materil', 'nikah']",-1,2
"gada hujan gada badai tiba-tiba, https://t.co/EFaNxuO66j",hujan badai tibatiba,"['hujan', 'badai', 'tibatiba']",-5,2
"Disaat ada yang berjuang, malah banyak berita perselingkuhan, KDRT, perceraian.",saat juang berita selingkuh kdrt cerai,"['saat', 'juang', 'berita', 'selingkuh', 'kdrt', 'cerai']",-13,2
Lim Ji Yeon Jadi Korban KDRT di Drama Terbaru https://t.co/Zxof1WMWXR,lim ji yeon korban kdrt drama baru,"['lim', 'ji', 'yeon', 'korban', 'kdrt', 'drama', 'baru']",-8,2
"Ngomongnya seneng. Kalau kedapatan suami/istrimu suka KDRT, akan sangat berat di Katolik.\n\nLo akan bilang begini karena lo udah ketemu jodoh yang baik atau lo belum alamin. DAN LU PLS JANGAN KIRA MASUK KATOLIK SEGAMPANG CUMA UCAP Aku Percaya"" 😭😭""",ngomongnya senang dapat suamiistrimu suka kdrt berat katoliknnlo bilang ketemu jodoh alamin pls masuk katolik gampang percaya,"['ngomongnya', 'senang', 'dapat', 'suamiistrimu', 'suka', 'kdrt', 'berat', 'katoliknnlo', 'bilang', 'ketemu', 'jodoh', 'alamin', 'pls', 'masuk', 'katolik', 'gampang', 'percaya']",4,1
"Jadi Korban KDRT, Lim Ji Yeon Siap Bintangi Drama Baru Lies Hidden in My Garden https://t.co/PsnhtGDRyp",korban kdrt lim ji yeon bintang drama lies hidden in my garden,"['korban', 'kdrt', 'lim', 'ji', 'yeon', 'bintang', 'drama', 'lies', 'hidden', 'in', 'my', 'garden']",-8,2
Yg selingkut artis\nYg KDRT juga artis\nYg udah jadi keluarga cemara tapi cerai juga artis\nEeeh yg disalahkan malah semua cowo seindonesia raya merdeka merdeka merdeka ini.......🗿🗿,selingkut artisnyg kdrt artisnyg keluarga cemara cerai artisneeeh salah cowok indonesia raya merdeka merdeka merdeka,"['selingkut', 'artisnyg', 'kdrt', 'artisnyg', 'keluarga', 'cemara', 'cerai', 'artisneeeh', 'salah', 'cowok', 'indonesia', 'raya', 'merdeka', 'merdeka', 'merdeka']",-7,2
Dis! Gak cukup tah? https://t.co/kkckpk5Y3f,dis tah,"['dis', 'tah']",0,0
kdrt https://t.co/7qz5OlX2fT,kdrt,['kdrt'],0,0
"@tanyakanrl Istri juga jangan permalukan suami di depan halayak netizen dgn live pas mood jelek dan marah marah… \nPesan bagi para wanita, carilah lelaki yg minimal mampu menafkahi, kadang nakal dikit jangan dijadiin masalah. Hehe",istri malu suami halayak netizen live pas mood jelek marah marah npesan wanita cari lelaki minimal nafkah kadang nakal jadi hehe,"['istri', 'malu', 'suami', 'halayak', 'netizen', 'live', 'pas', 'mood', 'jelek', 'marah', 'marah', 'npesan', 'wanita', 'cari', 'lelaki', 'minimal', 'nafkah', 'kadang', 'nakal', 'jadi', 'hehe']",-15,2
@tanyakanrl Klu krn kasus kdrt/perzinahan bs cerai tpi ga bs nikah lg krn pernikahan di nasrani cuma sekali seumur hidup.. makanya itu apapun agama kalian doa sebelum nikah agar dikarunai pernikahan sekali seumur hidup krn nikah itu big choice bukan mainan,klu kdrtperzinahan cerai nikah nikah nasrani umur hidup apa agama doa nikah dikarunai nikah umur hidup nikah big choice main,"['klu', 'kdrtperzinahan', 'cerai', 'nikah', 'nikah', 'nasrani', 'umur', 'hidup', 'apa', 'agama', 'doa', 'nikah', 'dikarunai', 'nikah', 'umur', 'hidup', 'nikah', 'big', 'choice', 'main']",-15,2
"@tanyakanrl Di katolik dan protestan nikah itu sekali seumur hidup nder. Iya klo kamu udah masuk katolik trus nemu cowo yg baik? Klo yg suka kdrt gimana? Silahkan masuk katolik kalau kamu yakin bener bener mau ngikut Kristus selamanya, jgn cuma karna alasan duniawi",katolik protestan nikah umur hidup nder iya masuk katolik temu cowok klo suka kdrt gimana silah masuk katolik ngikut kristus alas duniawi,"['katolik', 'protestan', 'nikah', 'umur', 'hidup', 'nder', 'iya', 'masuk', 'katolik', 'temu', 'cowok', 'klo', 'suka', 'kdrt', 'gimana', 'silah', 'masuk', 'katolik', 'ngikut', 'kristus', 'alas', 'duniawi']",6,1
"@tanyakanrl Itu pasti suaminya uda sering kdrt, jadi sengaja istrinya bikin live gitu biar ada bukti nyata.",suami kdrt sengaja istri bikin live biar bukti nyata,"['suami', 'kdrt', 'sengaja', 'istri', 'bikin', 'live', 'biar', 'bukti', 'nyata']",0,0
"@trashsyn jbjb, cmiiw yaa. boleh tp tergantung konteks. kl si istri/suami dikasarin mulu kdrt"" better cerai karena itu jelas merugikan.""",jbjb cmiiw yaa gantung konteks istrisuami dikasarin kdrt better cerai rugi,"['jbjb', 'cmiiw', 'yaa', 'gantung', 'konteks', 'istrisuami', 'dikasarin', 'kdrt', 'better', 'cerai', 'rugi']",-11,2
@tanyakanrl Trus kmu pindah ternyata suami mu kdrt/selingkuh/main judi dsb tapi posisi nya kmu gbsa cerai? Apa ga gila hbis itu?,trus pindah suami mu kdrtselingkuhmain judi posisi nya gbsa cerai gila habis,"['trus', 'pindah', 'suami', 'mu', 'kdrtselingkuhmain', 'judi', 'posisi', 'nya', 'gbsa', 'cerai', 'gila', 'habis']",-8,2
"@tanyakanrl Ok ok,,,, tadi udah nasihat untuk cewek nggak di terima netizen…\nSekarang bagi cowok yang mau nikah : pilihlah cewek yang nggak cerewet dan nggak banyak menuntut biar kamu nggak emosi dan kdrt,, jangan nakal dan rajin sembahyang…!!!!",ok oke nasihat cewek terima netizennsekarang cowok nikah pilih cewek cerewet tuntut biar emosi kdrt nakal rajin sembahyang,"['ok', 'oke', 'nasihat', 'cewek', 'terima', 'netizennsekarang', 'cowok', 'nikah', 'pilih', 'cewek', 'cerewet', 'tuntut', 'biar', 'emosi', 'kdrt', 'nakal', 'rajin', 'sembahyang']",-6,2
berasa jadi korban kdrt,asa korban kdrt,"['asa', 'korban', 'kdrt']",-3,2
"@bisajadimacan @siegblackmoon @tanyakanrl betul jg.. itu kebutuhan jaman skrg yg harus pintar2 ngaturnya, tp masalah utama kasus ini KDRT nya  ya 🤪",butuh jaman pintar ngaturnya utama kdrt nya,"['butuh', 'jaman', 'pintar', 'ngaturnya', 'utama', 'kdrt', 'nya']",-7,2
"Can we just leave them alone? 🥲\nI mean, selama nggak ada KDRT atau tindakan2 abusive lainnya biarin aja nggak sih?",can we just leave them alone ni mean kdrt tindak abusive biarin sih,"['can', 'we', 'just', 'leave', 'them', 'alone', 'ni', 'mean', 'kdrt', 'tindak', 'abusive', 'biarin', 'sih']",-9,2
"@tanyakanrl TP INI BKAN DESTA YG KDRT, mksudnya sbagai contoh alasan cerai",tp bkan desta kdrt mksudnya sbagai contoh alas cerai,"['tp', 'bkan', 'desta', 'kdrt', 'mksudnya', 'sbagai', 'contoh', 'alas', 'cerai']",-4,2
キノタクさんお休みの日か,,[],0,0
@tanyakanrl Si anie anjing!!! Kalo giliran elu yg diselingkuhin laki jgn sampe netijen liat postingan lu ya anie,anie anjing kalo gilir elu diselingkuhin laki netijen liat postingan anie,"['anie', 'anjing', 'kalo', 'gilir', 'elu', 'diselingkuhin', 'laki', 'netijen', 'liat', 'postingan', 'anie']",-2,2
